"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Antigua and Barbuda","ATG","Net migration","SM.POP.NETM","-361","-685","-714","-735","-546","-553","-514","-438","-340","-244","-862","-1203","-1422","-1430","-1335","-1203","-1063","-945","-890","-848","-828","-811","-793","-759","-1208","-1302","-1224","-1231","-1224","-1181","-1145","223","405","484","513","528","478","493","465","390","271","148","51","41","101","202","314","372","369","338","295","247","203","156","108","60","16","0","0","0","0","0","0","0",
"Australia","AUS","Net migration","SM.POP.NETM","86587","64374","58059","73375","91169","118655","110228","81057","101914","109720","258627","226406","55760","63870","62406","31122","32600","45424","45998","51702","86522","118568","107599","64184","74485","87895","109074","131625","150553","140156","95996","68867","34149","23422","53636","79727","82770","67260","72084","85011","109375","113907","107886","103907","109226","132109","192139","251231","278516","235881","166833","197748","235719","214564","198120","209466","242184","244875","220307","235860","117929","117929","139991","139991",
"Austria","AUT","Net migration","SM.POP.NETM","-2274","-2418","1277","4768","3117","10295","19045","21563","-7099","5671","10360","31810","36197","34319","-16505","-24472","7566","12630","-8381","-2011","9591","28738","-23114","-1899","2780","5834","6758","1839","14505","47276","59606","77195","71035","33610","2844","1447","3969","1459","8493","19768","17531","39173","37429","44003","54907","50282","25420","23729","25499","17121","22786","31665","44891","56494","74263","115125","66282","45573","35404","41105","20314","20314","19999","19999",
"Azerbaijan","AZE","Net migration","SM.POP.NETM","-163","-182","-193","-200","-1636","-3842","-6068","-7639","-8105","-8536","-9056","-9562","-9934","-10087","-10083","-10012","-12763","-13000","-14790","-24027","-27793","-28294","-28491","-28598","-28100","-27358","-26654","-26077","-25287","-101987","-28017","-25282","-23316","-22817","-37037","-37975","-38092","-40423","-46097","5300","15938","16248","15071","13154","13488","16436","16909","17111","15048","890","1384","1688","1988","2289","1084","1084","1484","1184","1583","392","1084","1084","0","0",
"Burundi","BDI","Net migration","SM.POP.NETM","-14647","15090","-15378","-11519","29635","-13952","5261","-9820","-5928","-25319","-6348","-7580","-118665","2839","10072","-20706","-12871","1890","8248","-40170","149360","-58722","-3837","-41786","-29572","-66680","-55836","-21213","-46546","-43635","-39996","-39298","35771","-686089","516369","-84698","-226350","-84365","13841","-34507","-40114","9965","-16881","36721","47090","17913","15322","22120","79323","184361","11847","-19517","22613","-2295","-6856","-236447","-109490","-68450","68145","14241","-10186","-14415","2000","2000",
"Belgium","BEL","Net migration","SM.POP.NETM","12907","14024","15225","15962","16572","17110","17299","17230","17062","16492","15519","14577","13754","12893","11697","10637","9412","8177","6931","5799","5129","4757","3731","3037","2800","2743","2942","3626","4513","5618","6752","8150","9952","12080","14118","16528","19272","22141","25295","28651","32262","35439","38517","41479","43994","46280","48426","50352","51937","53385","54611","55511","56227","56755","57103","57008","56781","56248","55439","54395","53428","52356","23999","23999",
"Benin","BEN","Net migration","SM.POP.NETM","-4725","-4797","-4847","-4850","-4837","-4800","-4767","-4754","-4755","-4795","-4854","-4921","-4965","-4954","-4815","-4600","-4309","-4020","-3730","-3363","-2945","-2551","-2255","-2101","-2024","-1965","-1905","-1807","-1870","-320","-337","0","-148","156226","-85132","-45474","-16498","-1326","2054","3170","3337","3730","3568","4278","4173","30492","-15131","247","3192","4272","3947","4278","1267","-899","3667","3366","3827","3716","3368","3363","1732","1732","-200","-200",
"Burkina Faso","BFA","Net migration","SM.POP.NETM","-23329","-24796","-26156","-26497","-26414","-25486","-27388","-26540","-27554","-28496","-28920","-34623","-33785","-34553","-30690","-30577","-25856","-18974","-19322","-18613","-15379","-17838","-15907","-11651","-12476","-16650","-25107","-29139","-30131","-31911","-33043","-50568","-45114","-43888","-37638","-39033","-44413","-37277","-5376","-1926","3880","10651","16076","15362","17573","9794","-4220","-28226","-40782","-40215","-42128","-33455","-20961","-33275","-18009","-19754","-7603","-14801","-23971","-25277","-5665","-13097","-24998","-24998",
"Bangladesh","BGD","Net migration","SM.POP.NETM","13584","26505","26541","23215","25430","47618","3756","23163","-15936","-132422","-193149","-289989","-331901","-320793","-349410","-499347","-635891","-472837","-503563","-495624","-369408","-194707","-129194","-52640","-137861","-204954","-344929","-369057","-319331","-285369","-200144","-386852","-265940","-271146","-214321","-374788","-389040","-390261","-407859","-435710","-424718","-347605","-451611","-533925","-535175","-715970","-1146688","-923456","-1390782","-740788","-462265","-341152","-242022","-194048","-219628","-286512","-55013","-175755","-323380","-344054","-61154","-174500","-309977","-309977",
"Bulgaria","BGR","Net migration","SM.POP.NETM","-1050","-707","-546","-33","867","1838","2598","3180","3467","3287","2745","1975","-73","-3042","-6917","-12089","-16280","-20250","-23556","-26115","-28047","-29449","-30588","-31183","-31894","-32050","-32117","-31768","-31346","-30574","-29479","-28324","-27139","-25843","-24238","-22495","-20330","-18375","-16403","-14046","-11295","-8623","-6134","-4527","-4156","-3832","-3980","-4748","-5674","-6997","-8686","-11262","-13770","-15243","-15527","-15356","-14947","-13560","-12115","-11439","-9902","-8716","-4800","-4800",
