"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Congo, Dem. Rep.","COD","Net migration","SM.POP.NETM","27672","35662","39432","41963","48194","61401","54443","64307","57270","46779","39119","-5489","2837","7421","3211","-981","-27041","-27626","267674","175944","27764","6978","5914","2092","117979","17496","49722","65532","79184","78215","183750","86722","-40938","240181","1232110","-273443","-777896","-528084","-27328","-40434","-48028","26524","-17355","-106740","4255","20379","40036","9939","-11707","-46015","8823","40890","-25257","121103","36966","47831","173022","4350","-124242","-144916","-1643","-64643","-14999","-14999",
"Congo, Rep.","COG","Net migration","SM.POP.NETM","0","0","0","0","0","0","0","0","0","0","0","0","0","-32","-315","-10299","-11120","-11651","-12335","-13309","-13988","-14782","-16629","-19074","0","192","373","536","32","1228","-400","1978","0","10212","1850","3746","1095","-20703","10500","2478","79780","-778","-16141","26287","25414","38337","35476","31237","1786","86016","12316","5262","-26640","-24608","-21600","-18219","-14788","-11604","-8858","-6271","-4465","-4466","-1000","-1000",
"Colombia","COL","Net migration","SM.POP.NETM","-49098","-49408","-51733","-54423","-55765","-53597","-61249","-58937","-63183","-66191","-66058","-84692","-77748","-75658","-80843","-84511","-98130","-67662","-67880","-63678","-49253","-56188","-46855","-29939","-34909","-35855","-48299","-44372","-32292","-27370","-17237","-48488","-29969","-30020","-16033","-33016","-28154","-23520","-25134","-30850","-31116","-27618","-24379","-33007","-25907","-41348","-39142","-49575","-63246","-46902","-34185","-46273","-55913","-64686","-67516","-41064","79978","415618","494364","395803","229437","211978","-167924","-175051",
"Comoros","COM","Net migration","SM.POP.NETM","-741","-726","-722","-733","-758","-676","-696","63","289","349","430","526","640","769","921","1058","1169","1255","1336","1212","566","-660","-1407","-1270","-1127","-987","-866","-777","-727","-667","-1194","-1883","-2423","-2898","-2873","-2831","-2765","-2679","-2584","-3794","-2971","-2551","-2502","-3084","-3103","-2717","-2681","-2611","-2550","-2420","-2294","-2146","-1970","-1773","-1569","-1349","-1136","-2922","-2919","-2917","-1772","-1772","-2000","-2000",
"Cabo Verde","CPV","Net migration","SM.POP.NETM","-2269","55","900","944","1004","1094","1230","1374","1520","1605","173","-4087","-6314","-6412","-6510","-6509","-7073","-7431","-7570","-7653","-5983","-5679","-5634","-5839","-6035","-6193","-6316","-6416","-6466","-5701","-3499","-2292","-1443","-1203","-1109","-1068","-1061","-1068","-1103","-1261","-2722","-3110","-3372","-3571","-3662","-3673","-3456","-3443","-3295","-3429","-1914","-1744","-1625","-1585","-1534","-1474","-1408","-1354","-1323","-1296","-1274","-1274","-1256","-1227",
"Costa Rica","CRI","Net migration","SM.POP.NETM","1525","1550","1575","1582","1575","1570","1563","1560","1584","1709","1917","2177","2420","2631","2851","3081","3281","3440","3532","3618","3681","3744","3776","3769","3709","3631","3547","3497","3725","5357","7941","10755","13075","14425","15576","16607","17391","17843","17671","16084","13590","10960","8929","8010","7458","7022","6651","6273","5833","5283","4728","4258","3983","3950","3996","4065","4150","4196","4198","4154","2084","2084","3850","3750",
"Caribbean small states","CSS","Net migration","SM.POP.NETM","-46404","-49945","-49956","-49610","-51331","-51752","-52475","-52546","-52047","-50479","-50340","-47999","-59552","-59608","-59998","-59285","-59880","-60862","-62241","-64034","-59748","-60424","-61260","-63061","-66423","-66422","-72434","-77824","-75556","-74522","-73598","-59294","-53577","-53969","-48142","-43158","-41711","-40516","-39628","-38675","-38012","-36347","-34708","-33189","-35485","-35732","-34649","-34155","-33690","-31939","-30222","-28184","-19619","-19814","-17545","-19122","-17915","-15824","54518","-53765","2389","-7303","-15599","-15599",
"Cuba","CUB","Net migration","SM.POP.NETM","-25396","-33163","-39116","-41979","-44406","-46683","-48509","-49556","-49387","-47446","-44466","-50012","-61788","-64655","-62793","-57074","-51223","-46105","-37588","-42543","-43166","-22159","-21055","-19994","-18994","-18048","-17146","-16290","-15474","-14705","-15438","-20665","-21867","-24358","-27272","-28713","-25052","-34305","-32396","-30770","-24942","-22329","-23874","-19525","-13532","-11973","-9462","-14434","-24636","-30328","-27718","-28752","-17531","-15301","-14543","-14372","-14454","-14498","-14219","-13686","-7068","-7068","-6000","-6000",
"Curacao","CUW","Net migration","SM.POP.NETM","-1530","-1160","-1115","-1071","-1045","-1031","-1027","-1018","-1011","-1021","-1044","-1096","-1469","-1762","-1872","-1889","-1899","-1911","-1930","-1945","-1997","-2148","-2289","-2381","-2412","-2427","-2443","-2446","-2447","-2447","-2447","-2499","-2680","-2934","-3041","-3075","-3105","-3127","-3147","-3166","-2632","-966","556","1029","1079","1460","1535","1588","1598","1570","1499","1513","1470","1281","1065","844","647","535","25591","-9592","997","502","515","515",
"Cayman Islands","CYM","Net migration","SM.POP.NETM","-32","1","2","12","26","59","42","48","45","48","297","499","374","460","515","463","488","491","447","458","567","560","580","531","523","602","597","591","592","678","1010","1015","1015","1028","1040","1099","1016","1009","1031","972","1020","1038","1075","1078","1036","985","997","984","933","918","895","880","897","967","980","1079","1077","1106","1054","973","766","276","400","400",
"Cyprus","CYP","Net migration","SM.POP.NETM","2674","-3395","-3290","-3026","-3598","-4748","-4471","-4708","-4975","-5050","-5021","-5468","-5896","-2874","-8222","-4819","1018","2019","1739","1285","301","1353","1768","3604","3380","3567","3342","3374","2723","2987","2551","2565","3587","11094","11017","11179","11197","11382","11566","11839","11577","12052","13449","13326","13126","13237","12664","12912","12489","12173","12456","6134","4789","4426","4467","4655","4878","5014","4977","4948","2999","1995","5000","5000",
"Czechia","CZE","Net migration","SM.POP.NETM","1514","-7202","-7261","-6350","-6418","-7987","-8919","-8620","-8719","-8413","-10433","-4843","-4158","-2013","-4044","-3733","-3430","-2928","-1675","-995","-33","-1731","-1329","-2598","-1331","-487","-608","-2471","-962","-2873","-4187","3543","5727","6639","6820","6465","5469","5670","5383","5382","4195","21486","26188","25694","25947","24895","25831","27262","29811","31317","34805","16409","10308","-1553","5009","5297","-300","2809","3193","4030","3621","3621","22011","22011",
"Germany","DEU","Net migration","SM.POP.NETM","100380","121350","137698","152170","162533","170903","176562","178457","178954","175007","168468","157046","141396","121476","95670","63902","25585","-919","-15269","-18647","-9445","10722","42143","85198","142722","214794","304200","375035","427377","461795","479954","482849","470043","441211","394809","330244","246097","178604","125369","86982","60905","48500","45985","54381","73107","102694","145046","180746","211709","240968","267047","293051","317082","342555","369027","397921","432017","430803","392587","360560","334055","312735","154592","155751",
"Djibouti","DJI","Net migration","SM.POP.NETM","886","1136","1695","2257","2846","3023","3014","3001","3001","4995","5004","6184","6690","7583","9910","13029","16028","17961","17788","14726","10121","5502","2450","2441","5452","9997","14543","17545","17242","33465","49970","21510","-65203","8896","-15756","-3163","2650","13623","10355","7046","5627","7631","5022","-5634","-5247","-3779","2723","1253","2148","2770","2129","2090","2104","2033","1900","1723","1623","1535","1435","1322","744","742","900","900",
"Dominica","DMA","Net migration","SM.POP.NETM","-699","-518","-555","-510","-513","-368","-676","-391","-222","-386","-837","-940","-932","-826","-771","-718","-679","-684","-745","-804","-923","-1382","-1541","-1657","-1473","-1501","-1561","-1473","-1593","-1478","-1553","-1131","-1049","-1014","-926","-851","-784","-763","-778","-945","-994","-603","-278","-259","-304","-314","-390","-332","-347","-228","-243","0","158","-445","1445","-393","179","187","194","326","100","57","-40","-40",
"Denmark","DNK","Net migration","SM.POP.NETM","-726","-400","152","545","1060","1584","2089","2561","2961","3337","3763","4087","4349","4568","4635","4643","4527","4254","3905","3449","2904","2575","2456","2606","2926","3498","4227","5265","6443","7849","9449","10812","11990","13011","13723","14157","14394","14313","13972","13391","12536","11934","11518","11337","11366","11693","12217","13067","14111","15469","17037","18519","19732","20779","21670","22368","22859","23188","23337","23305","23076","22746","19999","19999",
"Dominican Republic","DOM","Net migration","SM.POP.NETM","-7545","-8018","-8475","-8917","-9418","-9943","-10478","-10991","-11483","-12540","-13518","-14162","-14342","-14106","-13514","-13171","-13345","-13738","-13949","-14748","-17487","-19810","-20884","-21584","-22238","-23385","-24769","-25852","-26560","-26983","-27399","-29349","-29822","-30265","-30721","-29610","-29875","-30020","-30030","-30104","-30231","-30371","-30477","-30549","-30709","-30883","-30977","-30898","-30605","-30468","-30489","-30572","-30615","-30563","-30449","-30310","-30181","-30055","-29944","-29830","-14966","-14966","-29294","-29099",
"Algeria","DZA","Net migration","SM.POP.NETM","-55202","-111448","-99071","-110250","-94017","-122843","-31076","-25103","-25027","-29825","-37056","-35129","-32867","-29960","-27618","338533","340146","5348","19312","24300","29298","34865","41604","49152","56796","64927","59893","-18564","-18817","-19900","-21641","-23561","-25186","-26202","-31916","-28581","-9849","14071","-27387","-12084","-18994","-25798","-36255","-39330","-38621","-111256","-32745","-37062","-33931","-33857","-33071","-34829","-35119","-35412","-36088","-36371","-36227","-36448","-36227","-36386","-18797","-18797","-9999","-9999",
"East Asia & Pacific (excluding high income)","EAP","Net migration","SM.POP.NETM","-211668","-336580","-384837","-403053","-363852","-434988","-431662","-384203","-258689","-270513","-427170","-339253","-379172","-461223","-483040","-334894","-274501","-53883","-152369","-318198","-268732","-134127","-211868","-55197","-146339","-95588","-103271","-192413","-338976","-637100","-229630","-858144","-718315","-670961","-496819","-632961","-379517","-331741","-240276","-471008","-721102","-741424","-743578","-852644","-739093","-882390","-822377","-753861","-801697","-644780","-487107","-268725","-260017","-338455","-472530","-234948","-77693","-220848","-456693","-470333","-114687","-323525","-538259","-536831",
"Early-demographic dividend","EAR","Net migration","SM.POP.NETM","-139849","-241419","-204064","-284399","-307698","-437879","-581746","-476112","-526337","-706864","-870902","-1268493","-1055783","-1051097","-1214541","-1064921","-1457828","-1343183","-1221956","-1056900","-299310","1796064","-93299","-173449","-1051776","-504231","-788842","-591428","-498776","-514615","1283931","-319075","-2341581","-2765836","-3820962","-1065946","-37721","-1065232","-1449431","-1809657","-1113011","-1659447","-3856742","-2773416","-2606431","-3118727","-2440877","-2778517","-4553615","-3210018","-2258697","-3572706","-3915894","-4169595","-2698481","-2549801","-3227808","-3441642","-3454072","-3253155","-2212227","-1622432","-1002880","-988952",
"East Asia & Pacific","EAS","Net migration","SM.POP.NETM","-85134","-314303","-360890","-328860","-270963","-293860","-181729","-244069","-88409","-77903","-77143","17215","-159367","-252245","-321056","-274634","-310612","-105307","-260449","-459381","-327224","-24728","-65320","111241","38800","118477","242687","175281","4701","-305354","78472","-928972","-849505","-787093","-567071","-667831","-246490","-216329","-85117","-299757","-512945","-467909","-437152","-552288","-461359","-521185","-321151","-200845","-214278","-72566","19252","465510","526680","448601","325445","522034","539479","414719","205151","232677","180870","9227","-180381","-178933",
"Europe & Central Asia (excluding high income)","ECA","Net migration","SM.POP.NETM","2806","100862","51507","84508","105770","59762","266429","336423","239538","182468","-266473","-125301","-123516","-194363","-126480","-66486","3933","71146","-31003","-193254","-217542","-322563","-120136","60517","-15306","-34482","70148","34632","52279","-319828","-252265","-380575","-708012","-420933","-799278","-377596","-483138","-642112","-1010553","-489418","-203529","-273951","-208464","-86606","-102569","-96327","-81288","-80104","-50803","56929","-39193","45241","331662","396828","592084","455986","442175","-214294","-234824","-177605","105919","92645","-5638322","1101976",
"Europe & Central Asia","ECS","Net migration","SM.POP.NETM","-201349","149511","182103","199006","184383","118297","363733","298119","149095","159732","-416843","241881","362812","293278","337368","189948","289988","270020","118414","-9184","230544","-150740","-19231","225521","197592","264745","430405","451481","458423","207787","353755","413431","50409","387534","-65762","253274","113260","-87120","-454077","131492","778557","487394","1312672","1644364","1622028","1466088","1518429","2002467","1607078","1275263","1084683","1121738","1315534","1196323","1504844","1514027","1586627","1026421","1142576","1314636","1259036","1242327","422101","409205",
"Ecuador","ECU","Net migration","SM.POP.NETM","-1742","-1775","-1795","-1778","-1651","-1456","-1251","-1116","-1095","-1095","-1095","-1095","-1095","-1102","-1141","-1206","-1288","-1386","-1514","-1757","-2080","-2418","-2700","-2882","-3021","-3146","-3263","-4709","-8299","-11360","-15159","-21384","-34721","-41843","-44398","-45172","-46046","-47259","-47999","-46434","-41899","-34968","-28089","-22605","-20921","-16816","-12621","-9625","-8776","-8487","-8315","-8135","-7832","-6151","2288","14740","27063","49359","153372","71801","35894","35894","-20206","-21525",
"Egypt, Arab Rep.","EGY","Net migration","SM.POP.NETM","-2959","2504","3984","2806","-1750","-4593","-25834","-30046","-43814","-58834","-70830","-113627","-111509","-112685","-121442","-125141","-144535","-92212","-92176","-81024","-50167","-54511","-33767","-3126","-5955","-199","-15155","-6046","10280","6079","6995","-63804","-41760","-42612","-11479","-31423","7378","14366","11316","-163","-2815","927","73253","37743","31302","-18144","-28511","-32607","-46339","-55856","-18831","158511","-2118","163449","5961","-79150","4132","-23281","-61050","-59715","4476","-32370","-29998","-29998",
"Euro area","EMU","Net migration","SM.POP.NETM","-202470","-47270","57591","88148","94652","95170","121076","133281","53050","39149","-37007","364987","441616","425577","434036","283709","290008","275051","231025","219699","473833","188440","116388","183760","246401","326861","403866","446170","502525","558898","585770","737493","762511","793457","723359","615740","575022","526900","491412","492441","501546","564023","1292929","1479070","1453784","1301691","1332598","1743051","1284813","825964","726185","647880","519076","355564","472321","662689","767714","869679","1013915","1090026","778873","808829","844095","311907",
"Eritrea","ERI","Net migration","SM.POP.NETM","1059","1247","1371","1376","1308","1194","1073","1007","1017","1208","1487","1770","1964","1995","1995","1995","1995","1995","1995","1995","1995","1995","1995","1854","785","-1086","-1086","-3609","-3608","-7336","-12442","-328546","-22331","33686","-25840","136103","-52425","-30772","-32003","-3770","-33196","41755","-6571","76703","-6376","-12841","-50036","-18156","17859","-24355","-13369","-32992","-43335","-34025","-75830","-53049","-55530","-38636","-21435","-29849","-14987","-14988","-17152","-15297",
"Spain","ESP","Net migration","SM.POP.NETM","-150213","-33339","-42096","-36275","-33780","-36245","-32459","-27597","-40257","-34330","-53295","14581","7538","9876","105120","1177","4854","195","-1893","-6124","15108","-6044","-16439","-21369","-18090","-17354","-19462","-22528","-24067","-31560","-38206","123866","162339","162620","162131","164507","164247","166516","168468","170694","175213","185594","741349","662840","661105","632974","658689","774489","430778","130589","62782","57170","-144619","-254292","-94869","-871","89021","167475","339064","458942","208791","275022","39998","39998",
"Estonia","EST","Net migration","SM.POP.NETM","7627","8210","8272","8334","8876","8941","9109","9410","9268","8657","6294","6717","6764","6781","6804","6670","6887","7330","7241","4654","4505","4976","4855","5097","5124","5033","5147","5490","5227","-416","-2798","-9850","-38462","-25729","-18299","-12803","-10627","-4299","-3534","1271","-3230","-3422","-2984","-3780","-3768","-5242","-5403","-2862","-1973","-1939","-3759","-3929","-3646","-2650","-562","4308","1164","5329","7229","5410","2995","2995","-1000","-1000",
"Ethiopia","ETH","Net migration","SM.POP.NETM","1698","6940","8965","9418","10745","16349","9162","14434","9992","7265","8595","-14508","-3379","355","-4219","-42567","-36153","-527133","-210991","-711455","-903529","628135","66700","68018","137638","157474","186232","251387","379966","242615","296018","859739","160103","141549","140715","91538","41345","-9120","-3002","29118","-49892","-19067","-12921","-13744","-25428","-44423","-30511","-389","-20776","16319","80213","116793","119512","80953","103119","62784","115812","71769","9309","-10803","38867","-1391","-11999","-11999",
"European Union","EUU","Net migration","SM.POP.NETM","-234924","-61085","47465","62566","71284","78304","102925","-47618","-96612","-22687","-106681","384514","478991","490136","466722","314753","334795","211569","141613","162949","409244","120688","49910","131696","172186","253449","302067","346632","329985","465434","516313","683995","670047","709747","640169","529074","504922","442574","406258","428379","773989","519142","1235010","1438983","1416131","1238908","1257909","1682488","1231121","825168","720366","677777","587283","396229","526035","692113","788042","920207","1075197","1192639","872273","910755","5820541","-932653",
"Fragile and conflict affected situations","FCS","Net migration","SM.POP.NETM","-34944","41629","2292","10866","36392","-20867","-27782","1708","-31535","-111869","-156326","-180590","-183908","-112086","56614","-42840","497367","-581935","-396588","-390377","-1541831","-1877297","-621240","-921715","144729","-762669","-679324","-1065572","-955003","-632311","-1527207","-403676","1525204","1330294","2508863","-168419","-1430549","-1022085","-574051","-433483","-1462769","-713052","818500","-57315","-505638","-128484","-863566","-1355483","-316340","-439000","-648956","-1209500","-479370","-1097458","-1763697","-2270270","-1476682","-2323259","-1882885","-1470507","-499924","-1269284","-6272447","2227475",
"Finland","FIN","Net migration","SM.POP.NETM","-9445","-10994","-6962","-7591","-20338","-21466","-11903","-5024","-15787","-42127","-36633","11984","12597","11639","5920","-3788","-12180","-5676","-9666","-6722","-2259","5221","7011","6778","3918","2343","1438","764","1743","5684","8864","14401","9296","8887","3688","4250","3612","5014","3887","3532","2428","6395","5250","6039","6872","9406","10801","13940","15579","14757","14053","16712","17620","18026","15950","12433","17210","13307","11646","15558","17482","14928","13999","13999",
"Fiji","FJI","Net migration","SM.POP.NETM","-830","-773","-700","-640","-618","-809","-1592","-2636","-3189","-3383","-3603","-3822","-4032","-4239","-4466","-4367","-3331","-1931","-1405","-1444","-1440","-1425","-1405","-1398","-1394","-2003","-4565","-7923","-9608","-10129","-10612","-16491","-14646","-14927","-15170","-14575","-9085","-6530","-5711","-5926","-6081","-6207","-6349","-6513","-6639","-6729","-7016","-8101","-9625","-10445","-10666","-10836","-10945","-11000","-11023","-11047","-11139","-11605","-11738","-11865","-6003","-6003","-3557","-3289",
"France","FRA","Net migration","SM.POP.NETM","160864","177923","189952","198822","203089","202497","197365","188179","175643","157646","135988","115636","97770","82273","70036","60976","54481","50700","48194","49639","53403","54535","55023","54930","53502","50391","44525","37864","30843","21768","11404","4385","740","235","4295","11505","23046","37822","56608","77667","102857","122247","137513","148696","154947","155943","151814","142170","128627","108940","86355","65188","49080","36552","26585","18807","14729","13175","14391","17403","18335","20614","66601","67761",
"Faroe Islands","FRO","Net migration","SM.POP.NETM","-60","-117","-123","-118","-98","-64","-182","-221","-211","-193","-101","-69","-102","-114","-88","-61","-36","-6","107","77","112","131","142","129","123","29","24","54","49","30","-1147","-1169","-1188","-1274","-1249","97","96","96","156","116","332","396","369","317","390","-151","-187","-156","-162","-159","-116","-109","-149","-118","-111","542","537","622","653","580","498","0","0","0",
"Micronesia, Fed. Sts.","FSM","Net migration","SM.POP.NETM","193","193","193","-88","-88","-88","-88","-192","-192","-192","-192","-485","-485","-485","-485","-753","-753","-753","-291","-291","-291","-291","-291","-291","-291","-291","-291","-291","-995","-995","-995","-995","235","284","-470","-2425","-2604","-2735","-2815","-2995","-2688","-2733","-2816","-2974","-3038","-3055","-3133","-3123","-3069","-2971","-1799","-1719","-1633","-1561","-1482","-1415","-1348","-1283","-1283","-1283","-635","-635","-600","-600",
"Gabon","GAB","Net migration","SM.POP.NETM","0","0","0","0","0","0","0","0","0","2645","1883","1138","653","613","691","802","909","982","995","995","995","995","995","995","995","995","995","995","995","995","995","995","995","1013","1122","1323","1560","1795","2050","2480","3086","3802","4579","5435","6827","8555","10386","12047","13448","15277","17266","18969","19971","19581","16566","12041","7395","4019","2893","2230","1514","1516","1000","1000",
"United Kingdom","GBR","Net migration","SM.POP.NETM","2344","-1995","-10512","-17416","-21275","-24045","-26429","-26277","-26361","-26316","-26696","-27068","-24157","-22267","-21077","-19790","-18150","-16875","-15087","-13965","-12117","-10985","-10558","-10463","-9430","-8661","-7507","-6563","-4833","-3187","-701","3255","10003","20837","33409","48732","66293","86309","108637","133216","161157","186701","210510","230387","247447","261300","272651","279808","283762","284800","281588","277521","272601","268067","261389","254218","246940","239014","230577","221179","211063","202027","165790","165790",
"Georgia","GEO","Net migration","SM.POP.NETM","16740","18014","18976","19406","19373","18975","36699","39616","41791","38629","-1310","-10996","-11099","-10762","-10251","-9606","-8953","-8208","-9758","-14281","-12594","-12822","-12366","-10052","-13347","-15060","-13505","-9996","-12274","-85695","-108964","-111959","-121649","-154787","-147547","-130196","-134001","-133253","-127967","-131772","-135044","-110972","-58530","-31080","-30611","-31214","-31733","-32140","-32462","-32758","-24663","-25975","-26510","-27185","-16045","-13317","-10591","-7886","-5174","-5414","-2734","-2734","-9999","-9999",
"Ghana","GHA","Net migration","SM.POP.NETM","12176","-48780","-48017","-46510","-43475","-38520","-38136","-35668","-36684","-28746","-10239","-12234","-4596","-1169","-1197","-290","-2533","15245","18037","20291","-13567","-12300","7862","15279","-105676","-106911","-98157","-84713","-64855","-52328","-46822","-57922","-47772","-49825","-47170","-42594","-37148","-15423","-17583","-17306","-4208","36057","40580","28764","34434","21273","28539","32815","30509","22415","-3724","-733","1008","-2388","-6316","-13308","7014","-4914","-19374","-21860","-297","-11253","-9999","-9999",
"Gibraltar","GIB","Net migration","SM.POP.NETM","-259","-154","216","154","177","156","223","266","249","240","152","-82","-75","-84","-84","-120","-109","-160","-198","-238","-300","-323","-349","-397","-432","-466","-508","-525","-580","-583","-666","-526","-60","-122","-134","-150","-186","-187","-167","-157","-147","-215","312","318","319","328","323","333","300","299","325","270","298","-101","-101","-101","-101","-58","-58","-58","-58","-58","-24","-24",
"Guinea","GIN","Net migration","SM.POP.NETM","0","0","0","0","0","0","0","0","-350","-2846","-6904","-11545","-15804","-19085","-22661","-26254","-29250","-31040","-30978","-28810","-25331","-21400","-17938","-15287","-11449","-6966","-2905","-357","-647","-5149","107641","66718","-3292","45616","-8824","18021","-4973","-107718","-30939","-46248","-77558","-155276","-33495","-36982","-56110","-71104","-48145","-34349","-32957","-34050","-31352","-29092","-32842","-29151","-22750","-15127","-14196","-13726","-9195","-3243","-4364","-4367","-4000","-4000",
"Gambia, The","GMB","Net migration","SM.POP.NETM","2282","2282","2282","2282","2282","2282","2282","2615","2706","2757","2784","2820","2861","2903","2606","2980","3440","3970","4489","4907","5266","5436","5750","6718","7739","8373","8932","9558","10185","10768","11239","11531","9180","3130","-1591","-2800","-2951","-3099","-3291","-3486","-3676","-3876","-4068","-3717","-3632","-3204","-2667","-2325","-2203","-2267","-2464","-2363","-2342","-2486","-2797","-3224","-3477","-3694","-3936","-4186","-1960","-1960","-3000","-3000",
"Guinea-Bissau","GNB","Net migration","SM.POP.NETM","-8009","-3575","-3952","-5999","-23966","-19961","-11031","1525","2774","-11049","1134","-13321","-1997","-1997","22080","26186","29447","31188","30184","-13801","-8080","-8286","-8546","-8730","-8816","-8816","-8748","-8623","-8474","-8298","-8150","1621","7531","8562","3174","-4376","-7369","-8176","-8163","-7686","-6971","-6239","-5712","-5487","-5144","-4662","-4142","-3676","-3313","-2821","-2257","-1760","-1442","-1395","-1393","-1393","-1392","-1398","-1396","-1395","-1394","-1395","-1400","-1400",
"Equatorial Guinea","GNQ","Net migration","SM.POP.NETM","222","392","537","639","747","850","931","984","572","-2237","-6499","-10760","-13576","-13875","-12983","-11398","-9377","-7131","-4553","-235","4903","9605","12568","12767","11220","8819","6320","4472","3778","3538","3506","3636","3865","4175","4666","5300","6001","6690","7300","7844","15352","15084","14757","14544","14733","15549","16885","18437","19930","21233","22033","17606","17859","18105","18051","17694","17109","16395","15583","14695","0","6486","4000","4000",
"Greece","GRC","Net migration","SM.POP.NETM","-51051","-67204","-78846","-85474","-88095","-87226","-82982","-76028","-66544","-54901","-41226","-25879","-12184","-21","11264","21249","30781","38882","45998","52009","56793","58893","61051","62989","65029","66912","68420","70219","71995","73826","74412","74993","73934","73303","71421","69212","65364","60474","54245","46164","35798","24607","15717","7095","-1102","-7559","-13700","-18697","-21969","-23831","-25002","-26257","-30036","-31535","-30228","-29315","-27234","-25061","-23600","-21581","-17853","-14806","5000","5000",
"Grenada","GRD","Net migration","SM.POP.NETM","-1583","-2128","-2185","-2170","-2110","-2037","-2012","-2049","-2171","-2210","-2225","-2316","-2378","-2429","-2465","-2461","-2448","-2427","-2454","-2525","-2125","-666","-189","-193","-754","-1597","-2432","-2984","-3001","-2598","-1998","-698","-717","-691","-750","-809","-872","-915","-676","-582","-586","-736","-924","-245","-306","-369","-417","-447","-455","-459","-453","-292","-204","-190","-190","-190","-190","-190","-190","-190","0","-85","-200","-200",
"Greenland","GRL","Net migration","SM.POP.NETM","156","-30","-30","6","37","65","207","202","248","367","446","21","48","65","58","-19","-165","-544","-530","-497","0","-20","-7","32","23","-173","-149","-156","-212","-248","-672","-719","-787","-734","-712","-448","-475","-515","-501","-543","-264","-308","-342","-337","-349","-505","-514","-534","-563","-573","-443","-450","-457","-490","-529","-348","-374","-383","-357","-338","-150","-62","-100","-100",
"Guatemala","GTM","Net migration","SM.POP.NETM","-182","389","286","-223","-903","-1131","-4300","-5150","-8035","-11437","-14756","-23505","-25826","-29645","-36100","-42349","-50761","-46262","-48307","-47285","-44463","-47021","-48740","-37255","-29302","-28843","-33216","-33790","-32425","-32522","-30399","-40877","-36236","-36822","-33463","-39890","-43474","-43356","-44059","-49731","-66153","-59249","-55245","-54666","-47399","-49600","-42071","-40617","-42607","-43051","-36072","-33204","-32572","-35666","-40409","-48162","-39266","-48049","-56884","-58095","-23142","-29118","-9128","-9110",
"Guam","GUM","Net migration","SM.POP.NETM","-469","-501","-534","-430","-429","-429","-590","-560","-620","-919","-304","-109","-128","-227","-368","-592","-658","-712","-606","-536","135","328","281","-9","70","-114","-223","-213","-165","-537","-570","-585","-652","-728","-779","-829","-957","-1030","-1096","-1039","-1566","-1898","-1754","-2044","-2368","-2333","-2669","-2874","-2933","-2933","-1850","-1852","-1850","-1852","-1852","-1852","-1852","-1852","-1850","-1852","-244","-244","-500","-500",
"Guyana","GUY","Net migration","SM.POP.NETM","-1349","-2025","-2661","-3273","-4288","-5611","-6961","-8101","-8856","-9523","-10098","-10552","-10817","-10842","-10579","-10226","-10017","-10183","-10994","-12767","-15059","-17221","-18622","-19772","-20640","-21225","-21608","-21822","-21910","-21784","-21639","-15526","-13467","-13075","-13197","-13242","-13275","-13282","-13251","-13212","-13176","-13060","-12758","-12523","-12657","-13000","-13328","-13629","-13886","-14130","-14327","-14512","-7152","-6912","-6715","-6524","-6311","-6110","30080","-24678","802","-4316","-3900","-3900",
"High income","HIC","Net migration","SM.POP.NETM","550159","657601","759243","846521","766174","835231","860020","650886","763848","1009288","1533016","1953241","1868148","1801836","1725212","1441779","1297829","1423306","1437771","1440377","1817835","1245404","1182390","1354184","1330721","1536738","1747684","1886042","2016033","2314683","1583243","3177744","2883611","2686748","2673922","2520532","2841042","2878724","2840123","2796325","3033492","2744716","3349963","3445382","3572568","4278040","5019209","5823473","5438027","4579667","3508213","3951114","3959397","3727118","3420312","3930907","3973186","4292164","4353899","4082105","788160","2122893","7670661","917873",
"Hong Kong SAR, China","HKG","Net migration","SM.POP.NETM","39211","11451","4065","4212","4525","3559","7379","10145","8462","390","-3703","35798","46445","45851","46106","48467","48166","45600","43422","53981","53964","31486","26223","26102","26853","26327","38734","42155","39031","42354","42265","41059","37125","34299","31030","30241","70506","78095","74928","68094","60719","32287","21654","18790","10103","75","12583","31280","26820","20910","10584","25348","36188","24760","22372","13061","0","0","0","0","0","0","19999","19999",
"Honduras","HND","Net migration","SM.POP.NETM","-4090","-4842","-5519","-6063","-6618","-7160","-7649","-8052","-8331","-8545","-8746","-8921","-9099","-9289","-9475","-9655","-9838","-10071","-10353","-10725","-11183","-11671","-12163","-12647","-13181","-13739","-14253","-14660","-14918","-15147","-15350","-15507","-15585","-15559","-15246","-14711","-14049","-13343","-12638","-11757","-10762","-9749","-8815","-7986","-7082","-6187","-5451","-5039","-5039","-5196","-5418","-5664","-5896","-6094","-6302","-6512","-6685","-6782","-6768","-6550","-6199","-5779","-5374","-5034",
