longitude,latitude,OBJECTID,market_settlement_name,product_description,secondary_editor,editor,other_market_type_goods,market_type_goods,source,timestamp,market_name,market_days_monday,market_days_tuesday,market_days_wednesday,market_days_thursday,market_days_friday,market_days_saturday,market_days_sunday,total_market_days,wardcode,id,lat,lon
8.556793,12.02324,110978,Tudun Wada Tsohuwar Kasuwa,,,racheal.olarewaju,,,eHA_Polio,2013/02/06 04:47:52+00,Tudun Wada Tsohuwar Kasuwa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,KN3110,110978,12.02,8.56
8.5709,11.9464,110979,Yan Awaki,,,racheal.olarewaju,,,eHA_Polio,2013/02/06 04:47:52+00,Yan Awaki,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,KN3809,110979,11.95,8.57
8.5752,11.5614,110980,kasuwar Rano,,,racheal.olarewaju,,,eHA_Polio,2013/02/06 04:47:52+00,kasuwar Rano,No,No,No,No,Yes,No,No,1,KN3204,110980,11.56,8.58
8.580516,11.48128,110981,Kasuwa Dilla,,,racheal.olarewaju,,,eHA_Polio,2013/02/06 04:47:52+00,Kasuwa Dilla,Yes,No,No,No,No,No,No,1,KN3207,110981,11.48,8.58
8.581123,12.00884,110982,Yankaba Kasuwar Turawa,,,racheal.olarewaju,,,eHA_Polio,2013/02/06 04:47:52+00,Yankaba Kasuwar Turawa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,KN3109,110982,12.01,8.58
8.582062,11.55809,110983,Kasuwa Rano,,,racheal.olarewaju,,,eHA_Polio,2013/02/06 04:47:52+00,Kasuwa Rano,No,No,No,No,Yes,No,No,1,KN3204,110983,11.56,8.58
8.590507,11.83682,110984,Talata,,,racheal.olarewaju,,,eHA_Polio,2013/02/06 04:47:52+00,Talata,No,Yes,No,No,No,No,No,1,KN0903,110984,11.84,8.59
8.595729,12.24504,110985,Kasuwar Kwarkiya,,,racheal.olarewaju,,,eHA_Polio,2013/02/06 04:47:52+00,Kasuwar Kwarkiya,No,No,No,Yes,No,No,No,1,KN3006,110985,12.25,8.6
8.597286,12.14436,110986,Kasuwar Talata Baru,,,racheal.olarewaju,,,eHA_Polio,2013/02/06 04:47:52+00,Kasuwar Talata Baru,No,Yes,No,No,No,No,No,1,KN3002,110986,12.14,8.6
8.615503,11.94502,110987,Kasuwar Yangoro,,,racheal.olarewaju,,,eHA_Polio,2013/02/06 04:47:52+00,Kasuwar Yangoro,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,KN2509,110987,11.95,8.62
