states,indicators,Date,Value
Jigawa,"Public Primary School, Total",2007,2114
Jigawa,"Public Primary School, Total",2008,1788
Jigawa,"Public Primary School, Total",2009,1868
Jigawa,"Public Secondary schools, Total",2005,344
Jigawa,"Public Secondary schools, Total",2006,344
Jigawa,"Public Secondary schools, Total",2007,781
Jigawa,"Public Secondary schools, Total",2008,781
Jigawa,"Public Secondary schools, Total",2009,781
Kaduna,"Pupils in Primary School, Total",1999,677288
Kaduna,"Pupils in Primary School, Total",2000,522421
Kaduna,"Pupils in Primary School, Total",2001,632020
Kaduna,"Pupils in Primary School, Total",2002,990151
Kaduna,"Pupils in Primary School, Total",2003,990151
Kaduna,"Pupils in Primary School, Total",2004,912606
Kaduna,"Pupils in Primary School, Total",2005,874010
Kaduna,"Pupils in Primary School, Total",2006,855595
Kaduna,"Pupils in Primary School, Total",2007,902571
Kaduna,"Pupils in Primary School, Total",2008,852781
Kaduna,"Pupils in Primary School, Total",2009,953389
Kaduna,"Number of nomadic primary school, Total",2004,130
Kaduna,"Number of nomadic primary school, Total",2005,135
Kaduna,"Number of nomadic primary school, Total",2006,135
Kaduna,"Number of nomadic primary school, Total",2007,135
Kaduna,"Number of nomadic primary school, Total",2008,137
Kaduna,"Number of nomadic primary school pupils, Total",2004,21910
Kaduna,"Number of nomadic primary school pupils, Total",2005,28494
Kaduna,"Number of nomadic primary school pupils, Total",2006,28494
Kaduna,"Number of nomadic primary school pupils, Total",2007,28494
Kaduna,"Number of nomadic primary school pupils, Total",2008,27400
Kaduna,"Private secondary schools, Total",2006,56
Kaduna,"Private secondary schools, Total",2007,129
Kaduna,"Public Primary School, Total",2005,3409
Kaduna,"Public Primary School, Total",2006,3715
Kaduna,"Public Primary School, Total",2007,4166
Kaduna,"Public Primary School, Total",2008,4341
Kaduna,"Public Primary School, Total",2009,4341
Kaduna,"Public Secondary schools, Total",2005,235
Kaduna,"Public Secondary schools, Total",2006,235
Ogun,"Pupils in Primary School, Total",1999,482412
Ogun,"Pupils in Primary School, Total",2000,457437
Ogun,"Pupils in Primary School, Total",2001,387532
Ogun,"Pupils in Primary School, Total",2002,441912
Ogun,"Pupils in Primary School, Total",2003,441912
Ogun,"Pupils in Primary School, Total",2004,442687
Ogun,"Pupils in Primary School, Total",2005,442492
Ogun,"Pupils in Primary School, Total",2006,353855
Ogun,"Pupils in Primary School, Total",2007,388930
Ogun,"Pupils in Primary School, Total",2008,359753
Ogun,"Pupils in Primary School, Total",2009,388930
Ogun,"Number of nomadic primary school, Total",2004,16
Ogun,"Number of nomadic primary school, Total",2005,16
Ogun,"Number of nomadic primary school, Total",2006,16
Ogun,"Number of nomadic primary school, Total",2007,16
Ogun,"Number of nomadic primary school, Total",2008,13
Ogun,"Number of nomadic primary school pupils, Total",2004,4091
Ogun,"Number of nomadic primary school pupils, Total",2005,4087
Ogun,"Number of nomadic primary school pupils, Total",2006,4087
Ogun,"Number of nomadic primary school pupils, Total",2007,4087
Ogun,"Number of nomadic primary school pupils, Total",2008,2656
Ogun,"Private secondary schools, Total",2006,138
Ogun,"Private secondary schools, Total",2007,256
Ogun,"Public Primary School, Total",2005,1873
Ogun,"Public Primary School, Total",2006,1889
Ogun,"Public Primary School, Total",2007,1945
Ogun,"Public Primary School, Total",2008,1921
Ogun,"Public Primary School, Total",2009,1921
Ogun,"Public Secondary schools, Total",2005,348
Ogun,"Public Secondary schools, Total",2006,348
Ogun,"Public Secondary schools, Total",2007,332
Ogun,"Public Secondary schools, Total",2008,332
Ogun,"Public Secondary schools, Total",2009,332
Ondo,"Pupils in Primary School, Total",1999,326278
Ondo,"Pupils in Primary School, Total",2000,526448
Ondo,"Pupils in Primary School, Total",2001,521343
Ondo,"Pupils in Primary School, Total",2002,539433
Ondo,"Pupils in Primary School, Total",2003,539433
Ondo,"Pupils in Primary School, Total",2004,609469
Ondo,"Pupils in Primary School, Total",2005,652656
Ondo,"Pupils in Primary School, Total",2006,744120
Ondo,"Pupils in Primary School, Total",2007,740947
Ondo,"Pupils in Primary School, Total",2008,860306
Ondo,"Pupils in Primary School, Total",2009,635041
Ondo,"Number of nomadic primary school, Total",2004,14
Ondo,"Number of nomadic primary school, Total",2005,15
Ondo,"Number of nomadic primary school, Total",2006,15
Ondo,"Number of nomadic primary school, Total",2007,15
Ondo,"Number of nomadic primary school, Total",2008,16
Ondo,"Number of nomadic primary school pupils, Total",2004,3797
Ondo,"Number of nomadic primary school pupils, Total",2005,3882
Ondo,"Number of nomadic primary school pupils, Total",2006,3882
Ondo,"Number of nomadic primary school pupils, Total",2007,3882
Ondo,"Number of nomadic primary school pupils, Total",2008,3279
Ondo,"Private secondary schools, Total",2006,102
Ondo,"Private secondary schools, Total",2007,206
Ondo,"Public Primary School, Total",2005,1650
Ondo,"Public Primary School, Total",2006,1949
Ondo,"Public Primary School, Total",2007,2009
Ondo,"Public Primary School, Total",2008,1973
Ondo,"Public Primary School, Total",2009,1164
Ondo,"Public Secondary schools, Total",2005,370
Ondo,"Public Secondary schools, Total",2006,370
Ondo,"Public Secondary schools, Total",2007,844
Ondo,"Public Secondary schools, Total",2008,844
Ondo,"Public Secondary schools, Total",2009,844
Osun,"Pupils in Primary School, Total",1999,520015
Osun,"Pupils in Primary School, Total",2000,457472
Osun,"Pupils in Primary School, Total",2001,399427
Osun,"Pupils in Primary School, Total",2002,509584
Osun,"Pupils in Primary School, Total",2003,509584
Osun,"Pupils in Primary School, Total",2004,410674
Osun,"Pupils in Primary School, Total",2005,411546
Osun,"Pupils in Primary School, Total",2006,395254
Osun,"Pupils in Primary School, Total",2007,406290
Osun,"Pupils in Primary School, Total",2008,354006
Osun,"Pupils in Primary School, Total",2009,347515
Osun,"Number of nomadic primary school, Total",2004,32
Osun,"Number of nomadic primary school, Total",2005,32
Osun,"Number of nomadic primary school, Total",2006,32
Osun,"Number of nomadic primary school, Total",2007,32
Osun,"Number of nomadic primary school, Total",2008,35
Osun,"Number of nomadic primary school pupils, Total",2004,2362
Osun,"Number of nomadic primary school pupils, Total",2005,2416
Osun,"Number of nomadic primary school pupils, Total",2006,2416
Osun,"Number of nomadic primary school pupils, Total",2007,2416
Osun,"Number of nomadic primary school pupils, Total",2008,8153
Osun,"Private secondary schools, Total",2006,90
Osun,"Private secondary schools, Total",2007,235
Osun,"Private secondary schools, Total",2008,235
Osun,"Private secondary schools, Total",2009,261
Osun,"Public Primary School, Total",2005,1686
Osun,"Public Primary School, Total",2006,1687
Osun,"Public Primary School, Total",2007,1703
Osun,"Public Primary School, Total",2008,1760
Osun,"Public Primary School, Total",2009,1760
Osun,"Public Secondary schools, Total",2005,469
Osun,"Public Secondary schools, Total",2006,469
Osun,"Public Secondary schools, Total",2007,690
Osun,"Public Secondary schools, Total",2008,690
Osun,"Public Secondary schools, Total",2009,690
Oyo,"Pupils in Primary School, Total",1999,773220
Oyo,"Pupils in Primary School, Total",2000,809896
Oyo,"Pupils in Primary School, Total",2001,702627
Oyo,"Pupils in Primary School, Total",2002,774403
Oyo,"Pupils in Primary School, Total",2003,774403
Oyo,"Pupils in Primary School, Total",2004,834250
Oyo,"Pupils in Primary School, Total",2005,882417
Oyo,"Pupils in Primary School, Total",2006,1172032
Oyo,"Pupils in Primary School, Total",2007,993913
Oyo,"Pupils in Primary School, Total",2008,793670
Oyo,"Pupils in Primary School, Total",2009,687313
Oyo,"Number of nomadic primary school, Total",2004,18
Oyo,"Number of nomadic primary school, Total",2005,20
Oyo,"Number of nomadic primary school, Total",2006,27
Oyo,"Number of nomadic primary school, Total",2007,27
Oyo,"Number of nomadic primary school, Total",2008,100
Oyo,"Number of nomadic primary school pupils, Total",2004,3556
Oyo,"Number of nomadic primary school pupils, Total",2005,3617
Oyo,"Number of nomadic primary school pupils, Total",2006,4411
Oyo,"Number of nomadic primary school pupils, Total",2007,4411
Oyo,"Number of nomadic primary school pupils, Total",2008,11185
Oyo,"Private secondary schools, Total",2006,95
Oyo,"Private secondary schools, Total",2007,245
Oyo,"Public Primary School, Total",2005,2618
Oyo,"Public Primary School, Total",2006,2822
Oyo,"Public Primary School, Total",2007,2973
Oyo,"Public Primary School, Total",2008,2992
Oyo,"Public Primary School, Total",2009,2992
Oyo,"Public Secondary schools, Total",2005,806
Oyo,"Public Secondary schools, Total",2006,806
Oyo,"Public Secondary schools, Total",2007,902
Oyo,"Public Secondary schools, Total",2008,902
Oyo,"Public Secondary schools, Total",2009,902
Plateau,"Pupils in Primary School, Total",1999,519367
Plateau,"Pupils in Primary School, Total",2000,510132
Plateau,"Pupils in Primary School, Total",2001,531557
Plateau,"Pupils in Primary School, Total",2002,604120
Plateau,"Pupils in Primary School, Total",2003,604120
Plateau,"Pupils in Primary School, Total",2004,693583
Plateau,"Pupils in Primary School, Total",2005,718199
Plateau,"Pupils in Primary School, Total",2006,789169
Plateau,"Pupils in Primary School, Total",2007,679554
Plateau,"Pupils in Primary School, Total",2008,782273
Plateau,"Number of nomadic primary school, Total",2004,111
Plateau,"Number of nomadic primary school, Total",2005,111
Plateau,"Number of nomadic primary school, Total",2006,111
Plateau,"Number of nomadic primary school, Total",2007,111
Plateau,"Number of nomadic primary school, Total",2008,134
Plateau,"Number of nomadic primary school pupils, Total",2004,29257
Plateau,"Number of nomadic primary school pupils, Total",2005,29318
Plateau,"Number of nomadic primary school pupils, Total",2006,29318
Plateau,"Number of nomadic primary school pupils, Total",2007,29318
Plateau,"Number of nomadic primary school pupils, Total",2008,32105
Plateau,"Private secondary schools, Total",2006,103
Plateau,"Private secondary schools, Total",2007,295
Plateau,"Private secondary schools, Total",2008,295
Plateau,"Public Primary School, Total",2005,1837
Plateau,"Public Primary School, Total",2006,1881
Plateau,"Public Primary School, Total",2007,1975
Plateau,"Public Primary School, Total",2008,1989
Plateau,"Public Secondary schools, Total",2005,481
Plateau,"Public Secondary schools, Total",2006,481
Plateau,"Public Secondary schools, Total",2007,1143
Plateau,"Public Secondary schools, Total",2008,1143
Plateau,"Public Secondary schools, Total",2009,1143
Rivers,"Pupils in Primary School, Total",1999,353558
Rivers,"Pupils in Primary School, Total",2000,417693
Rivers,"Pupils in Primary School, Total",2001,457434
Rivers,"Pupils in Primary School, Total",2002,526889
Rivers,"Pupils in Primary School, Total",2003,526889
Rivers,"Pupils in Primary School, Total",2004,355488
Rivers,"Pupils in Primary School, Total",2005,346986
Rivers,"Pupils in Primary School, Total",2006,343002
Rivers,"Pupils in Primary School, Total",2007,366957
Rivers,"Pupils in Primary School, Total",2008,235819
Rivers,"Pupils in Primary School, Total",2009,366957
Rivers,"Number of nomadic primary school, Total",2004,51
Rivers,"Number of nomadic primary school, Total",2005,54
Rivers,"Number of nomadic primary school, Total",2006,54
Rivers,"Number of nomadic primary school, Total",2007,54
Rivers,"Number of nomadic primary school, Total",2008,57
Rivers,"Number of nomadic primary school pupils, Total",2004,6696
Rivers,"Number of nomadic primary school pupils, Total",2005,6855
Rivers,"Number of nomadic primary school pupils, Total",2006,6855
Rivers,"Number of nomadic primary school pupils, Total",2007,6855
Rivers,"Number of nomadic primary school pupils, Total",2008,7095
Rivers,"Private secondary schools, Total",2006,43
Rivers,"Private secondary schools, Total",2007,117
Rivers,"Public Primary School, Total",2005,1080
Rivers,"Public Primary School, Total",2006,1523
Rivers,"Public Primary School, Total",2007,1649
Rivers,"Public Primary School, Total",2008,1662
Rivers,"Public Primary School, Total",2009,1667
Rivers,"Public Secondary schools, Total",2005,310
Rivers,"Public Secondary schools, Total",2006,310
Rivers,"Public Secondary schools, Total",2007,800
Rivers,"Public Secondary schools, Total",2008,800
Rivers,"Public Secondary schools, Total",2009,800
Sokoto,"Pupils in Primary School, Total",1999,224599
Sokoto,"Pupils in Primary School, Total",2000,566664
Sokoto,"Pupils in Primary School, Total",2001,588181
Sokoto,"Pupils in Primary School, Total",2002,691126
Sokoto,"Pupils in Primary School, Total",2003,691126
Sokoto,"Pupils in Primary School, Total",2004,616080
Sokoto,"Pupils in Primary School, Total",2005,630426
Sokoto,"Pupils in Primary School, Total",2006,470118
Sokoto,"Pupils in Primary School, Total",2007,285263
Sokoto,"Pupils in Primary School, Total",2008,332810
Sokoto,"Pupils in Primary School, Total",2009,758108
Sokoto,"Number of nomadic primary school, Total",2004,50
Sokoto,"Number of nomadic primary school, Total",2005,50
Sokoto,"Number of nomadic primary school, Total",2006,50
Sokoto,"Number of nomadic primary school, Total",2007,50
Sokoto,"Number of nomadic primary school, Total",2008,41
Sokoto,"Number of nomadic primary school pupils, Total",2004,8035
Sokoto,"Number of nomadic primary school pupils, Total",2005,8147
Sokoto,"Number of nomadic primary school pupils, Total",2006,8147
Sokoto,"Number of nomadic primary school pupils, Total",2007,5382
Sokoto,"Number of nomadic primary school pupils, Total",2008,7260
Sokoto,"Private secondary schools, Total",2007,9
Sokoto,"Public Primary School, Total",2005,2118
Sokoto,"Public Primary School, Total",2006,2814
Sokoto,"Public Primary School, Total",2007,1325
Sokoto,"Public Primary School, Total",2008,2885
Sokoto,"Public Primary School, Total",2009,1967
Sokoto,"Public Secondary schools, Total",2005,73
Sokoto,"Public Secondary schools, Total",2006,73
Sokoto,"Public Secondary schools, Total",2007,535
Sokoto,"Public Secondary schools, Total",2008,535
Sokoto,"Public Secondary schools, Total",2009,535
Taraba,"Pupils in Primary School, Total",1999,397933
Taraba,"Pupils in Primary School, Total",2000,504083
Taraba,"Pupils in Primary School, Total",2001,542456
Taraba,"Pupils in Primary School, Total",2002,475152
Taraba,"Pupils in Primary School, Total",2003,475152
Taraba,"Pupils in Primary School, Total",2004,653480
Taraba,"Pupils in Primary School, Total",2005,663412
Taraba,"Pupils in Primary School, Total",2006,565705
Taraba,"Pupils in Primary School, Total",2007,597508
Taraba,"Pupils in Primary School, Total",2008,593357
Taraba,"Pupils in Primary School, Total",2009,472300
Taraba,"Number of nomadic primary school, Total",2004,101
Taraba,"Number of nomadic primary school, Total",2005,104
Taraba,"Number of nomadic primary school, Total",2006,104
Taraba,"Number of nomadic primary school, Total",2007,104
Taraba,"Number of nomadic primary school, Total",2008,97
Taraba,"Number of nomadic primary school pupils, Total",2004,17929
Taraba,"Number of nomadic primary school pupils, Total",2005,18988
Taraba,"Number of nomadic primary school pupils, Total",2006,18938
Taraba,"Number of nomadic primary school pupils, Total",2007,18938
Taraba,"Number of nomadic primary school pupils, Total",2008,11543
Taraba,"Private secondary schools, Total",2006,22
Taraba,"Private secondary schools, Total",2007,62
Taraba,"Public Primary School, Total",2005,1679
Taraba,"Public Primary School, Total",2006,1495
Taraba,"Public Primary School, Total",2007,1513
Taraba,"Public Primary School, Total",2008,1513
Taraba,"Public Primary School, Total",2009,1514
Taraba,"Public Secondary schools, Total",2005,204
Taraba,"Public Secondary schools, Total",2006,204
Taraba,"Public Secondary schools, Total",2007,91
Taraba,"Public Secondary schools, Total",2008,91
Taraba,"Public Secondary schools, Total",2009,91
Yobe,"Pupils in Primary School, Total",1999,593214
Yobe,"Pupils in Primary School, Total",2000,657793
Yobe,"Pupils in Primary School, Total",2001,847945
Yobe,"Pupils in Primary School, Total",2002,379323
Yobe,"Pupils in Primary School, Total",2003,379323
Yobe,"Pupils in Primary School, Total",2004,460314
Yobe,"Pupils in Primary School, Total",2005,491321
Yobe,"Pupils in Primary School, Total",2006,568764
Yobe,"Pupils in Primary School, Total",2007,513260
Yobe,"Pupils in Primary School, Total",2008,471218
Yobe,"Pupils in Primary School, Total",2009,626913
Yobe,"Number of nomadic primary school, Total",2004,48
Yobe,"Number of nomadic primary school, Total",2005,50
Yobe,"Number of nomadic primary school, Total",2006,50
Yobe,"Number of nomadic primary school, Total",2007,50
Yobe,"Number of nomadic primary school, Total",2008,50
Yobe,"Number of nomadic primary school pupils, Total",2004,5698
Yobe,"Number of nomadic primary school pupils, Total",2005,5861
Yobe,"Number of nomadic primary school pupils, Total",2006,5861
Yobe,"Number of nomadic primary school pupils, Total",2007,5861
Yobe,"Number of nomadic primary school pupils, Total",2008,5757
Yobe,"Private secondary schools, Total",2006,4
Yobe,"Private secondary schools, Total",2007,7
Yobe,"Public Primary School, Total",2005,950
Yobe,"Public Primary School, Total",2006,1125
Yobe,"Public Primary School, Total",2007,1191
Yobe,"Public Primary School, Total",2008,1200
Yobe,"Public Primary School, Total",2009,1013
Yobe,"Public Secondary schools, Total",2005,57
Yobe,"Public Secondary schools, Total",2006,57
Yobe,"Public Secondary schools, Total",2007,289
Yobe,"Public Secondary schools, Total",2008,289
Yobe,"Public Secondary schools, Total",2009,289
Zamfara,"Pupils in Primary School, Total",1999,167948
Zamfara,"Pupils in Primary School, Total",2000,286295
Zamfara,"Pupils in Primary School, Total",2001,288155
Zamfara,"Pupils in Primary School, Total",2002,249047
Zamfara,"Pupils in Primary School, Total",2003,249047
Zamfara,"Pupils in Primary School, Total",2004,331335
Zamfara,"Pupils in Primary School, Total",2005,350627
Zamfara,"Pupils in Primary School, Total",2006,347174
Zamfara,"Pupils in Primary School, Total",2007,290381
Zamfara,"Pupils in Primary School, Total",2008,283716
Zamfara,"Pupils in Primary School, Total",2009,300390
Zamfara,"Number of nomadic primary school, Total",2004,32
Zamfara,"Number of nomadic primary school, Total",2005,32
Zamfara,"Number of nomadic primary school, Total",2006,32
Zamfara,"Number of nomadic primary school, Total",2007,37
Zamfara,"Number of nomadic primary school, Total",2008,31
Zamfara,"Number of nomadic primary school pupils, Total",2004,3376
Zamfara,"Number of nomadic primary school pupils, Total",2005,3554
Zamfara,"Number of nomadic primary school pupils, Total",2006,3554
Zamfara,"Number of nomadic primary school pupils, Total",2007,3651
Zamfara,"Number of nomadic primary school pupils, Total",2008,3847
Zamfara,"Private secondary schools, Total",2006,4
Zamfara,"Private secondary schools, Total",2007,7
Zamfara,"Public Primary School, Total",2005,1058
Zamfara,"Public Primary School, Total",2006,1246
Zamfara,"Public Primary School, Total",2007,1286
Zamfara,"Public Primary School, Total",2008,1408
Zamfara,"Public Primary School, Total",2009,1408
Zamfara,"Public Secondary schools, Total",2005,47
Zamfara,"Public Secondary schools, Total",2006,47
Zamfara,"Public Secondary schools, Total",2007,254
Zamfara,"Public Secondary schools, Total",2008,254
Zamfara,"Public Secondary schools, Total",2009,254
