"","states","total_confirmed","new_confirmed","total_recoveries","new_recoveries","total_death","new_death","week","day","month"
"933","Abia",1690,0,1664,0,22,0,2021-05-16,"Sunday","May"
"934","Adamawa",1130,19,1086,16,32,0,2021-05-16,"Sunday","May"
"935","Akwa Ibom",1893,10,1853,20,14,0,2021-05-16,"Sunday","May"
"936","Anambra",1909,0,1826,0,19,0,2021-05-16,"Sunday","May"
"937","Bauchi",1549,0,1518,0,17,0,2021-05-16,"Sunday","May"
"938","Bayelsa",888,2,855,0,26,0,2021-05-16,"Sunday","May"
"939","Benue",1188,0,591,0,22,0,2021-05-16,"Sunday","May"
"940","Borno",1337,0,1200,0,38,0,2021-05-16,"Sunday","May"
"941","Cross River",394,0,376,0,18,0,2021-05-16,"Sunday","May"
"942","Delta",2627,2,1744,0,71,0,2021-05-16,"Sunday","May"
"943","Ebonyi",2030,0,1965,0,32,0,2021-05-16,"Sunday","May"
"944","Edo",4907,2,4715,0,185,0,2021-05-16,"Sunday","May"
"945","Ekiti",873,1,856,0,11,0,2021-05-16,"Sunday","May"
"946","Enugu",2453,33,2013,0,29,0,2021-05-16,"Sunday","May"
"947","FCT",19841,32,19104,5,166,0,2021-05-16,"Sunday","May"
"948","Gombe",2035,0,1986,0,44,0,2021-05-16,"Sunday","May"
"949","Imo",1657,0,1592,0,37,0,2021-05-16,"Sunday","May"
"950","Jigawa",528,0,492,0,16,0,2021-05-16,"Sunday","May"
"951","Kaduna",9068,3,9000,8,65,0,2021-05-16,"Sunday","May"
"952","Kano",3967,0,3849,12,110,0,2021-05-16,"Sunday","May"
"953","Katsina",2097,0,2049,0,34,0,2021-05-16,"Sunday","May"
"954","Kebbi",450,0,392,0,16,0,2021-05-16,"Sunday","May"
"955","Kogi",5,0,3,0,2,0,2021-05-16,"Sunday","May"
"956","Kwara",3123,0,3067,5,55,0,2021-05-16,"Sunday","May"
"957","Lagos",58713,125,56990,0,439,0,2021-05-16,"Sunday","May"
"958","Nasarawa",2383,0,373,0,13,0,2021-05-16,"Sunday","May"
"959","Niger",935,5,913,0,17,0,2021-05-16,"Sunday","May"
"960","Ogun",4680,0,4628,24,50,1,2021-05-16,"Sunday","May"
"961","Ondo",3248,0,2080,0,63,0,2021-05-16,"Sunday","May"
"962","Osun",2578,0,2520,0,52,0,2021-05-16,"Sunday","May"
"963","Oyo",6855,3,6729,6,124,0,2021-05-16,"Sunday","May"
"964","Plateau",9060,0,9002,11,57,0,2021-05-16,"Sunday","May"
"965","Rivers",7171,39,7040,9,101,0,2021-05-16,"Sunday","May"
"966","Sokoto",775,0,747,0,28,0,2021-05-16,"Sunday","May"
"967","Taraba",992,0,968,0,24,0,2021-05-16,"Sunday","May"
"968","Yobe",436,14,394,0,9,0,2021-05-16,"Sunday","May"
"969","Zamfara",244,0,233,0,8,0,2021-05-16,"Sunday","May"
"970","Abia",1690,0,1664,6,22,0,2021-05-09,"Sunday","May"
"971","Adamawa",1111,8,1070,795,32,0,2021-05-09,"Sunday","May"
"972","Akwa Ibom",1883,19,1833,3,14,0,2021-05-09,"Sunday","May"
"973","Anambra",1909,0,1826,0,19,0,2021-05-09,"Sunday","May"
"974","Bauchi",1549,0,1518,0,17,0,2021-05-09,"Sunday","May"
"975","Bayelsa",886,0,855,0,26,0,2021-05-09,"Sunday","May"
"976","Benue",1188,0,591,0,22,0,2021-05-09,"Sunday","May"
"977","Borno",1337,0,1200,0,38,0,2021-05-09,"Sunday","May"
"978","Cross River",394,0,376,0,18,0,2021-05-09,"Sunday","May"
"979","Delta",2625,2,1744,0,71,0,2021-05-09,"Sunday","May"
"980","Ebonyi",2030,0,1965,0,32,0,2021-05-09,"Sunday","May"
"981","Edo",4905,3,4715,1,185,0,2021-05-09,"Sunday","May"
"982","Ekiti",872,0,856,0,11,0,2021-05-09,"Sunday","May"
"983","Enugu",2420,19,2013,0,29,0,2021-05-09,"Sunday","May"
"984","FCT",19809,25,19099,4,166,0,2021-05-09,"Sunday","May"
"985","Gombe",2035,1,1986,0,44,0,2021-05-09,"Sunday","May"
"986","Imo",1657,0,1592,0,37,0,2021-05-09,"Sunday","May"
"987","Jigawa",528,0,492,0,16,0,2021-05-09,"Sunday","May"
"988","Kaduna",9065,4,8992,11,65,0,2021-05-09,"Sunday","May"
"989","Kano",3967,6,3837,13,110,0,2021-05-09,"Sunday","May"
"990","Katsina",2097,0,2049,0,34,0,2021-05-09,"Sunday","May"
"991","Kebbi",450,0,392,0,16,0,2021-05-09,"Sunday","May"
"992","Kogi",5,0,3,0,2,0,2021-05-09,"Sunday","May"
"993","Kwara",3123,0,3062,0,55,0,2021-05-09,"Sunday","May"
"994","Lagos",58588,94,56990,0,439,0,2021-05-09,"Sunday","May"
"995","Nasarawa",2383,1,373,0,13,0,2021-05-09,"Sunday","May"
"996","Niger",930,0,913,0,17,0,2021-05-09,"Sunday","May"
"997","Ogun",4680,2,4604,13,49,0,2021-05-09,"Sunday","May"
"998","Ondo",3248,0,2080,0,63,0,2021-05-09,"Sunday","May"
"999","Osun",2578,0,2520,10,52,0,2021-05-09,"Sunday","May"
"1000","Oyo",6852,0,6723,2,124,0,2021-05-09,"Sunday","May"
"1001","Plateau",9060,1,8991,4,57,0,2021-05-09,"Sunday","May"
"1002","Rivers",7132,18,7031,25,101,0,2021-05-09,"Sunday","May"
"1003","Sokoto",775,0,747,0,28,0,2021-05-09,"Sunday","May"
"1004","Taraba",992,18,968,18,24,2,2021-05-09,"Sunday","May"
"1005","Yobe",422,13,394,19,9,0,2021-05-09,"Sunday","May"
"1006","Zamfara",244,4,233,12,8,0,2021-05-09,"Sunday","May"
"1007","Abia",1690,1,1658,0,22,0,2021-05-02,"Sunday","May"
"1008","Adamawa",1103,40,275,1,32,0,2021-05-02,"Sunday","May"
"1009","Akwa Ibom",1864,14,1830,36,14,0,2021-05-02,"Sunday","May"
"1010","Anambra",1909,0,1826,0,19,0,2021-05-02,"Sunday","May"
"1011","Bauchi",1549,1,1518,0,17,0,2021-05-02,"Sunday","May"
"1012","Bayelsa",886,0,855,0,26,0,2021-05-02,"Sunday","May"
"1013","Benue",1188,0,591,0,22,0,2021-05-02,"Sunday","May"
"1014","Borno",1337,0,1200,0,38,0,2021-05-02,"Sunday","May"
"1015","Cross River",394,0,376,0,18,0,2021-05-02,"Sunday","May"
"1016","Delta",2623,3,1744,0,71,0,2021-05-02,"Sunday","May"
"1017","Ebonyi",2030,0,1965,0,32,0,2021-05-02,"Sunday","May"
"1018","Edo",4902,4,4714,5,185,0,2021-05-02,"Sunday","May"
"1019","Ekiti",872,2,856,5,11,0,2021-05-02,"Sunday","May"
"1020","Enugu",2401,56,2013,0,29,0,2021-05-02,"Sunday","May"
"1021","FCT",19784,19,19095,5,166,1,2021-05-02,"Sunday","May"
"1022","Gombe",2034,0,1986,0,44,0,2021-05-02,"Sunday","May"
"1023","Imo",1657,0,1592,0,37,0,2021-05-02,"Sunday","May"
"1024","Jigawa",528,1,492,7,16,0,2021-05-02,"Sunday","May"
"1025","Kaduna",9061,21,8981,11,65,0,2021-05-02,"Sunday","May"
"1026","Kano",3961,7,3824,6,110,0,2021-05-02,"Sunday","May"
"1027","Katsina",2097,0,2049,0,34,0,2021-05-02,"Sunday","May"
"1028","Kebbi",450,0,392,0,16,0,2021-05-02,"Sunday","May"
"1029","Kogi",5,0,3,0,2,0,2021-05-02,"Sunday","May"
"1030","Kwara",3123,3,3062,248,55,0,2021-05-02,"Sunday","May"
"1031","Lagos",58494,203,56990,0,439,0,2021-05-02,"Sunday","May"
"1032","Nasarawa",2382,0,373,0,13,0,2021-05-02,"Sunday","May"
"1033","Niger",930,0,913,0,17,0,2021-05-02,"Sunday","May"
"1034","Ogun",4678,31,4591,20,49,0,2021-05-02,"Sunday","May"
"1035","Ondo",3248,6,2080,0,63,0,2021-05-02,"Sunday","May"
"1036","Osun",2578,3,2510,8,52,0,2021-05-02,"Sunday","May"
"1037","Oyo",6852,2,6721,0,124,0,2021-05-02,"Sunday","May"
"1038","Plateau",9059,10,8987,5,57,0,2021-05-02,"Sunday","May"
"1039","Rivers",7114,16,7006,55,101,0,2021-05-02,"Sunday","May"
"1040","Sokoto",775,0,747,0,28,0,2021-05-02,"Sunday","May"
"1041","Taraba",974,0,950,0,22,0,2021-05-02,"Sunday","May"
"1042","Yobe",409,19,375,23,9,0,2021-05-02,"Sunday","May"
"1043","Zamfara",240,0,221,0,8,0,2021-05-02,"Sunday","May"
"1044","Abia",1689,6,1658,13,22,0,2021-04-25,"Sunday","April"
"1045","Adamawa",1063,0,274,0,32,0,2021-04-25,"Sunday","April"
"1046","Akwa Ibom",1850,7,1794,55,14,0,2021-04-25,"Sunday","April"
"1047","Anambra",1909,0,1826,0,19,0,2021-04-25,"Sunday","April"
"1048","Bauchi",1548,8,1518,3,17,0,2021-04-25,"Sunday","April"
"1049","Bayelsa",886,1,855,21,26,0,2021-04-25,"Sunday","April"
"1050","Benue",1188,0,591,0,22,0,2021-04-25,"Sunday","April"
"1051","Borno",1337,0,1200,0,38,0,2021-04-25,"Sunday","April"
"1052","Cross River",394,0,376,9,18,0,2021-04-25,"Sunday","April"
"1053","Delta",2620,3,1744,0,71,0,2021-04-25,"Sunday","April"
"1054","Ebonyi",2030,0,1965,0,32,0,2021-04-25,"Sunday","April"
"1055","Edo",4898,1,4709,2,185,0,2021-04-25,"Sunday","April"
"1056","Ekiti",870,1,851,4,11,0,2021-04-25,"Sunday","April"
"1057","Enugu",2345,53,2013,0,29,0,2021-04-25,"Sunday","April"
"1058","FCT",19765,18,19090,6,166,1,2021-04-25,"Sunday","April"
"1059","Gombe",2034,0,1986,0,44,0,2021-04-25,"Sunday","April"
"1060","Imo",1657,2,1592,0,37,0,2021-04-25,"Sunday","April"
"1061","Jigawa",527,0,485,0,16,0,2021-04-25,"Sunday","April"
"1062","Kaduna",9040,26,8970,55,65,0,2021-04-25,"Sunday","April"
"1063","Kano",3954,10,3818,7,110,0,2021-04-25,"Sunday","April"
"1064","Katsina",2097,0,2049,0,34,0,2021-04-25,"Sunday","April"
"1065","Kebbi",450,0,392,0,16,0,2021-04-25,"Sunday","April"
"1066","Kogi",5,0,3,0,2,0,2021-04-25,"Sunday","April"
"1067","Kwara",3120,0,2814,0,55,0,2021-04-25,"Sunday","April"
"1068","Lagos",58291,172,56990,0,439,0,2021-04-25,"Sunday","April"
"1069","Nasarawa",2382,2,373,0,13,0,2021-04-25,"Sunday","April"
"1070","Niger",930,0,913,0,17,0,2021-04-25,"Sunday","April"
"1071","Ogun",4647,8,4571,0,49,0,2021-04-25,"Sunday","April"
"1072","Ondo",3242,16,2080,0,63,0,2021-04-25,"Sunday","April"
"1073","Osun",2575,1,2502,17,52,0,2021-04-25,"Sunday","April"
"1074","Oyo",6850,10,6721,215,123,0,2021-04-25,"Sunday","April"
"1075","Plateau",9049,3,8982,0,57,0,2021-04-25,"Sunday","April"
"1076","Rivers",7098,49,6951,55,101,0,2021-04-25,"Sunday","April"
"1077","Sokoto",775,0,747,1,28,0,2021-04-25,"Sunday","April"
"1078","Taraba",974,64,950,86,22,0,2021-04-25,"Sunday","April"
"1079","Yobe",390,25,352,45,9,0,2021-04-25,"Sunday","April"
"1080","Zamfara",240,0,221,0,8,0,2021-04-25,"Sunday","April"
"1081","Abia",1683,0,1645,0,22,0,2021-04-18,"Sunday","April"
"1082","Adamawa",1063,12,274,0,32,0,2021-04-18,"Sunday","April"
"1083","Akwa Ibom",1843,33,1739,33,14,0,2021-04-18,"Sunday","April"
"1084","Anambra",1909,0,1826,0,19,0,2021-04-18,"Sunday","April"
"1085","Bauchi",1540,0,1515,0,17,0,2021-04-18,"Sunday","April"
"1086","Bayelsa",885,7,834,11,26,0,2021-04-18,"Sunday","April"
"1087","Benue",1188,0,591,0,22,0,2021-04-18,"Sunday","April"
"1088","Borno",1337,0,1200,0,38,0,2021-04-18,"Sunday","April"
"1089","Cross River",394,9,367,10,18,0,2021-04-18,"Sunday","April"
"1090","Delta",2617,0,1744,0,71,0,2021-04-18,"Sunday","April"
"1091","Ebonyi",2030,13,1965,0,32,0,2021-04-18,"Sunday","April"
"1092","Edo",4897,4,4707,8,185,0,2021-04-18,"Sunday","April"
"1093","Ekiti",869,1,847,5,11,0,2021-04-18,"Sunday","April"
"1094","Enugu",2292,33,2013,40,29,0,2021-04-18,"Sunday","April"
"1095","FCT",19747,35,19084,4,165,1,2021-04-18,"Sunday","April"
"1096","Gombe",2034,0,1986,0,44,0,2021-04-18,"Sunday","April"
"1097","Imo",1655,0,1592,0,37,0,2021-04-18,"Sunday","April"
"1098","Jigawa",527,0,485,0,16,0,2021-04-18,"Sunday","April"
"1099","Kaduna",9014,25,8915,23,65,0,2021-04-18,"Sunday","April"
"1100","Kano",3944,14,3811,16,110,0,2021-04-18,"Sunday","April"
"1101","Katsina",2097,0,2049,0,34,0,2021-04-18,"Sunday","April"
"1102","Kebbi",450,0,392,0,16,0,2021-04-18,"Sunday","April"
"1103","Kogi",5,0,3,0,2,0,2021-04-18,"Sunday","April"
"1104","Kwara",3120,0,2814,0,55,0,2021-04-18,"Sunday","April"
"1105","Lagos",58119,150,56990,0,439,0,2021-04-18,"Sunday","April"
"1106","Nasarawa",2380,2,373,0,13,0,2021-04-18,"Sunday","April"
"1107","Niger",930,0,913,0,17,0,2021-04-18,"Sunday","April"
"1108","Ogun",4639,18,4571,0,49,0,2021-04-18,"Sunday","April"
"1109","Ondo",3226,0,2080,0,63,0,2021-04-18,"Sunday","April"
"1110","Osun",2574,21,2485,19,52,0,2021-04-18,"Sunday","April"
"1111","Oyo",6840,2,6506,0,123,0,2021-04-18,"Sunday","April"
"1112","Plateau",9046,5,8982,15,57,0,2021-04-18,"Sunday","April"
"1113","Rivers",7049,50,6896,41,101,0,2021-04-18,"Sunday","April"
"1114","Sokoto",775,0,746,0,28,0,2021-04-18,"Sunday","April"
"1115","Taraba",910,0,864,0,22,0,2021-04-18,"Sunday","April"
"1116","Yobe",365,0,307,0,9,0,2021-04-18,"Sunday","April"
"1117","Zamfara",240,6,221,0,8,0,2021-04-18,"Sunday","April"
"1118","Abia",1683,7,1645,0,22,1,2021-04-11,"Sunday","April"
"1119","Adamawa",1051,0,274,0,32,0,2021-04-11,"Sunday","April"
"1120","Akwa Ibom",1810,30,1706,103,14,0,2021-04-11,"Sunday","April"
"1121","Anambra",1909,0,1826,0,19,0,2021-04-11,"Sunday","April"
"1122","Bayelsa",878,17,823,4,26,0,2021-04-11,"Sunday","April"
"1123","Benue",1188,0,591,0,22,0,2021-04-11,"Sunday","April"
"1124","Borno",1337,1,1200,0,38,0,2021-04-11,"Sunday","April"
"1125","Cross River",385,8,357,9,18,0,2021-04-11,"Sunday","April"
"1126","Delta",2617,11,1744,0,71,0,2021-04-11,"Sunday","April"
"1127","Ebonyi",2017,10,1965,14,32,0,2021-04-11,"Sunday","April"
"1128","Edo",4893,9,4699,10,185,0,2021-04-11,"Sunday","April"
"1129","Ekiti",868,1,842,5,11,0,2021-04-11,"Sunday","April"
"1130","Enugu",2259,4,1973,0,29,0,2021-04-11,"Sunday","April"
"1131","Gombe",2034,1,1986,2,44,0,2021-04-11,"Sunday","April"
"1132","Imo",1655,0,1592,0,37,0,2021-04-11,"Sunday","April"
"1133","Jigawa",527,3,485,0,16,0,2021-04-11,"Sunday","April"
"1134","Kaduna",8989,29,8892,55,65,0,2021-04-11,"Sunday","April"
"1135","Kano",3930,17,3795,18,110,0,2021-04-11,"Sunday","April"
"1136","Katsina",2097,0,2049,0,34,0,2021-04-11,"Sunday","April"
"1137","Kebbi",450,0,392,0,16,0,2021-04-11,"Sunday","April"
"1138","Kogi",5,0,3,0,2,0,2021-04-11,"Sunday","April"
"1139","Kwara",3120,37,2814,0,55,0,2021-04-11,"Sunday","April"
"1140","Lagos",57969,179,56990,0,439,0,2021-04-11,"Sunday","April"
"1141","Nasarawa",2378,27,373,0,13,0,2021-04-11,"Sunday","April"
"1142","Niger",930,0,913,496,17,0,2021-04-11,"Sunday","April"
"1143","Ogun",4621,1,4571,22,49,0,2021-04-11,"Sunday","April"
"1144","Ondo",3226,29,2080,0,63,0,2021-04-11,"Sunday","April"
"1145","Osun",2553,15,2466,9,52,0,2021-04-11,"Sunday","April"
"1146","Oyo",6838,0,6506,266,123,0,2021-04-11,"Sunday","April"
"1147","Plateau",9041,2,8967,18,57,0,2021-04-11,"Sunday","April"
"1148","Rivers",6999,57,6855,32,101,1,2021-04-11,"Sunday","April"
"1149","Sokoto",775,1,746,1,28,0,2021-04-11,"Sunday","April"
"1150","Taraba",910,0,864,0,22,0,2021-04-11,"Sunday","April"
"1151","Yobe",365,37,307,23,9,0,2021-04-11,"Sunday","April"
"1152","Zamfara",234,2,221,0,8,0,2021-04-11,"Sunday","April"
"1153","Abia",1676,11,1645,2,21,0,2021-04-04,"Sunday","April"
"1154","Adamawa",1051,0,274,0,32,0,2021-04-04,"Sunday","April"
"1155","Akwa Ibom",1780,18,1603,167,14,0,2021-04-04,"Sunday","April"
"1156","Anambra",1909,0,1826,0,19,0,2021-04-04,"Sunday","April"
"1157","Bauchi",1531,10,1501,0,17,0,2021-04-04,"Sunday","April"
"1158","Bayelsa",861,9,819,35,26,0,2021-04-04,"Sunday","April"
"1159","Benue",1188,0,591,0,22,0,2021-04-04,"Sunday","April"
"1160","Borno",1336,9,1200,0,38,0,2021-04-04,"Sunday","April"
"1161","Cross River",377,11,348,7,18,1,2021-04-04,"Sunday","April"
"1162","Delta",2606,7,1744,0,71,0,2021-04-04,"Sunday","April"
"1163","Ebonyi",2007,0,1951,0,32,0,2021-04-04,"Sunday","April"
"1164","Edo",4884,9,4689,35,185,0,2021-04-04,"Sunday","April"
"1165","Ekiti",867,2,837,29,11,0,2021-04-04,"Sunday","April"
"1166","Enugu",2255,18,1973,50,29,0,2021-04-04,"Sunday","April"
"1167","FCT",19658,41,18072,1008,164,8,2021-04-04,"Sunday","April"
"1168","Gombe",2033,3,1984,1,44,0,2021-04-04,"Sunday","April"
"1169","Imo",1655,13,1592,57,37,0,2021-04-04,"Sunday","April"
"1170","Jigawa",524,6,485,0,16,0,2021-04-04,"Sunday","April"
"1171","Kaduna",8960,46,8837,47,65,0,2021-04-04,"Sunday","April"
"1172","Kano",3913,11,3777,10,110,0,2021-04-04,"Sunday","April"
"1173","Katsina",2097,14,2049,19,34,0,2021-04-04,"Sunday","April"
"1174","Kebbi",450,8,392,0,16,0,2021-04-04,"Sunday","April"
"1175","Kogi",5,0,3,0,2,0,2021-04-04,"Sunday","April"
"1176","Kwara",3083,5,2814,0,55,0,2021-04-04,"Sunday","April"
"1177","Lagos",57790,209,56990,0,439,0,2021-04-04,"Sunday","April"
"1178","Nasarawa",2351,33,373,0,13,0,2021-04-04,"Sunday","April"
"1179","Niger",930,0,417,0,17,0,2021-04-04,"Sunday","April"
"1180","Ogun",4620,3,4549,103,49,0,2021-04-04,"Sunday","April"
"1181","Ondo",3197,29,2080,0,63,1,2021-04-04,"Sunday","April"
"1182","Osun",2538,14,2457,12,52,0,2021-04-04,"Sunday","April"
"1183","Oyo",6838,0,6240,19,123,0,2021-04-04,"Sunday","April"
"1184","Plateau",9039,15,8949,33,57,0,2021-04-04,"Sunday","April"
"1185","Rivers",6942,33,6823,56,100,0,2021-04-04,"Sunday","April"
"1186","Sokoto",774,0,745,0,28,0,2021-04-04,"Sunday","April"
"1187","Taraba",910,0,864,0,22,0,2021-04-04,"Sunday","April"
"1188","Yobe",328,15,284,0,9,0,2021-04-04,"Sunday","April"
"1189","Zamfara",232,0,221,0,8,0,2021-04-04,"Sunday","April"
"1190","Abia",1665,16,1643,24,21,0,2021-03-28,"Sunday","March"
"1191","Adamawa",1051,109,274,4,32,1,2021-03-28,"Sunday","March"
"1192","Akwa Ibom",1762,26,1436,155,14,0,2021-03-28,"Sunday","March"
"1193","Anambra",1909,0,1826,0,19,0,2021-03-28,"Sunday","March"
"1194","Bauchi",1521,33,1501,234,17,0,2021-03-28,"Sunday","March"
"1195","Bayelsa",852,20,784,5,26,0,2021-03-28,"Sunday","March"
"1196","Benue",1188,0,591,0,22,0,2021-03-28,"Sunday","March"
"1197","Borno",1327,2,1200,0,38,0,2021-03-28,"Sunday","March"
"1198","Cross River",366,9,341,7,17,0,2021-03-28,"Sunday","March"
"1199","Delta",2599,0,1744,0,71,0,2021-03-28,"Sunday","March"
"1200","Ebonyi",2007,22,1951,13,32,0,2021-03-28,"Sunday","March"
"1201","Edo",4875,7,4654,57,185,0,2021-03-28,"Sunday","March"
"1202","Ekiti",865,2,808,9,11,0,2021-03-28,"Sunday","March"
"1203","Enugu",2237,16,1923,58,29,0,2021-03-28,"Sunday","March"
"1204","FCT",19617,37,17064,1174,156,1,2021-03-28,"Sunday","March"
"1205","Gombe",2030,5,1983,5,44,0,2021-03-28,"Sunday","March"
"1206","Imo",1642,3,1535,0,37,1,2021-03-28,"Sunday","March"
"1207","Jigawa",518,15,485,5,16,0,2021-03-28,"Sunday","March"
"1208","Kaduna",8914,56,8790,81,65,0,2021-03-28,"Sunday","March"
"1209","Kano",3902,13,3767,15,110,0,2021-03-28,"Sunday","March"
"1210","Katsina",2083,1,2030,0,34,0,2021-03-28,"Sunday","March"
"1211","Kebbi",442,0,392,0,16,0,2021-03-28,"Sunday","March"
"1212","Kogi",5,0,3,0,2,0,2021-03-28,"Sunday","March"
"1213","Kwara",3078,11,2814,6,55,0,2021-03-28,"Sunday","March"
"1214","Lagos",57581,308,56990,203,439,13,2021-03-28,"Sunday","March"
"1215","Nasarawa",2318,2,373,0,13,0,2021-03-28,"Sunday","March"
"1216","Niger",930,0,417,0,17,0,2021-03-28,"Sunday","March"
"1217","Ogun",4617,7,4446,112,49,0,2021-03-28,"Sunday","March"
"1218","Ondo",3168,11,2080,0,62,1,2021-03-28,"Sunday","March"
"1219","Osun",2524,16,2445,44,52,0,2021-03-28,"Sunday","March"
"1220","Oyo",6838,15,6221,17,123,0,2021-03-28,"Sunday","March"
"1221","Plateau",9024,18,8916,29,57,0,2021-03-28,"Sunday","March"
"1222","Rivers",6909,54,6767,123,100,1,2021-03-28,"Sunday","March"
"1223","Sokoto",774,1,745,4,28,0,2021-03-28,"Sunday","March"
"1224","Taraba",910,0,864,0,22,0,2021-03-28,"Sunday","March"
"1225","Yobe",313,20,284,25,9,0,2021-03-28,"Sunday","March"
"1226","Zamfara",232,1,221,0,8,0,2021-03-28,"Sunday","March"
"1227","Abia",1649,20,1619,55,21,0,2021-03-21,"Sunday","March"
"1228","Adamawa",942,0,270,0,31,0,2021-03-21,"Sunday","March"
"1229","Akwa Ibom",1736,34,1281,93,14,0,2021-03-21,"Sunday","March"
"1230","Anambra",1909,0,1826,0,19,0,2021-03-21,"Sunday","March"
"1231","Bauchi",1488,25,1267,0,17,0,2021-03-21,"Sunday","March"
"1232","Bayelsa",832,4,779,21,26,0,2021-03-21,"Sunday","March"
"1233","Benue",1188,0,591,0,22,0,2021-03-21,"Sunday","March"
"1234","Borno",1325,4,1200,0,38,0,2021-03-21,"Sunday","March"
"1235","Cross River",357,13,334,21,17,0,2021-03-21,"Sunday","March"
"1236","Delta",2599,6,1744,0,71,2,2021-03-21,"Sunday","March"
"1237","Ebonyi",1985,17,1938,164,32,0,2021-03-21,"Sunday","March"
"1238","Edo",4868,48,4597,150,185,0,2021-03-21,"Sunday","March"
"1239","Ekiti",863,15,799,26,11,1,2021-03-21,"Sunday","March"
"1240","Enugu",2221,0,1865,0,29,0,2021-03-21,"Sunday","March"
"1241","FCT",19580,110,15890,303,155,1,2021-03-21,"Sunday","March"
"1242","Gombe",2025,7,1978,12,44,1,2021-03-21,"Sunday","March"
"1243","Imo",1639,20,1535,103,36,0,2021-03-21,"Sunday","March"
"1244","Jigawa",503,2,480,0,16,0,2021-03-21,"Sunday","March"
"1245","Kaduna",8858,73,8709,152,65,0,2021-03-21,"Sunday","March"
"1246","Kano",3889,16,3752,37,110,1,2021-03-21,"Sunday","March"
"1247","Katsina",2082,9,2030,0,34,0,2021-03-21,"Sunday","March"
"1248","Kebbi",442,15,392,69,16,2,2021-03-21,"Sunday","March"
"1249","Kogi",5,0,3,0,2,0,2021-03-21,"Sunday","March"
"1250","Kwara",3067,53,2808,140,55,0,2021-03-21,"Sunday","March"
"1251","Lagos",57273,311,56787,745,426,1,2021-03-21,"Sunday","March"
"1252","Nasarawa",2316,24,373,0,13,0,2021-03-21,"Sunday","March"
"1253","Niger",930,7,417,0,17,0,2021-03-21,"Sunday","March"
"1254","Ogun",4610,61,4334,39,49,0,2021-03-21,"Sunday","March"
"1255","Ondo",3157,41,2080,0,61,0,2021-03-21,"Sunday","March"
"1256","Osun",2508,21,2401,73,52,0,2021-03-21,"Sunday","March"
"1257","Oyo",6823,16,6204,17,123,7,2021-03-21,"Sunday","March"
"1258","Plateau",9006,18,8887,27,57,0,2021-03-21,"Sunday","March"
"1259","Rivers",6855,52,6644,187,99,1,2021-03-21,"Sunday","March"
"1260","Sokoto",773,4,741,0,28,0,2021-03-21,"Sunday","March"
"1261","Taraba",910,29,864,60,22,0,2021-03-21,"Sunday","March"
"1262","Yobe",293,0,259,0,9,0,2021-03-21,"Sunday","March"
"1263","Zamfara",231,5,221,6,8,0,2021-03-21,"Sunday","March"
"1264","Adamawa",942,0,270,0,31,0,2021-03-14,"Sunday","March"
"1265","Bayelsa",828,49,758,14,26,0,2021-03-14,"Sunday","March"
"1266","Benue",1188,0,591,0,22,0,2021-03-14,"Sunday","March"
"1267","Cross River",344,10,313,39,17,0,2021-03-14,"Sunday","March"
"1268","Ekiti",848,14,773,40,10,0,2021-03-14,"Sunday","March"
"1269","Jigawa",501,5,480,51,16,5,2021-03-14,"Sunday","March"
"1270","Kebbi",427,15,323,0,14,0,2021-03-14,"Sunday","March"
"1271","Kogi",5,0,3,0,2,0,2021-03-14,"Sunday","March"
"1272","Nasarawa",2292,41,373,0,13,0,2021-03-14,"Sunday","March"
"1273","Niger",923,4,417,0,17,0,2021-03-14,"Sunday","March"
"1274","Sokoto",769,0,741,0,28,0,2021-03-14,"Sunday","March"
"1275","Taraba",881,18,804,37,22,0,2021-03-14,"Sunday","March"
"1276","Yobe",293,0,259,0,9,0,2021-03-14,"Sunday","March"
"1277","Abia",1588,68,1503,76,21,0,2021-03-07,"Sunday","March"
"1278","Adamawa",942,180,270,6,31,3,2021-03-07,"Sunday","March"
"1279","Akwa Ibom",1610,109,1042,192,14,0,2021-03-07,"Sunday","March"
"1280","Anambra",1813,87,1599,8,19,0,2021-03-07,"Sunday","March"
"1281","Bauchi",1274,50,1196,0,17,0,2021-03-07,"Sunday","March"
"1282","Bayelsa",779,10,744,38,26,0,2021-03-07,"Sunday","March"
"1283","Benue",1188,0,591,0,22,0,2021-03-07,"Sunday","March"
"1284","Borno",1308,32,1200,136,38,0,2021-03-07,"Sunday","March"
"1285","Cross River",334,10,274,20,17,4,2021-03-07,"Sunday","March"
"1286","Delta",2582,28,1744,0,65,0,2021-03-07,"Sunday","March"
"1287","Ebonyi",1951,40,1547,0,31,0,2021-03-07,"Sunday","March"
"1288","Edo",4670,118,4274,318,180,14,2021-03-07,"Sunday","March"
"1289","Ekiti",834,32,733,76,10,0,2021-03-07,"Sunday","March"
"1290","Enugu",2156,153,1865,0,29,0,2021-03-07,"Sunday","March"
"1291","FCT",19350,139,11926,83,153,8,2021-03-07,"Sunday","March"
"1292","Gombe",2010,6,1952,91,43,0,2021-03-07,"Sunday","March"
"1293","Imo",1569,95,1407,144,31,3,2021-03-07,"Sunday","March"
"1294","Jigawa",496,0,429,0,11,0,2021-03-07,"Sunday","March"
"1295","Kaduna",8658,182,8424,98,65,3,2021-03-07,"Sunday","March"
